# A_s Omega_b Omega_cdm h n_s
2.0750e-09 3.2450e-02 3.1300e-01 6.9375e-01 9.4820e-01
1.6550e-09 4.0270e-02 2.1500e-01 7.5625e-01 9.6100e-01
2.4950e-09 5.0470e-02 3.2300e-01 6.1125e-01 9.4180e-01
1.7850e-09 3.0750e-02 2.4100e-01 7.0125e-01 9.6740e-01
1.6250e-09 4.0610e-02 3.4700e-01 7.2125e-01 9.7100e-01
1.5450e-09 3.8570e-02 1.7500e-01 7.9375e-01 9.4020e-01
1.8850e-09 2.7690e-02 2.1100e-01 7.8375e-01 9.7620e-01
1.5750e-09 3.2790e-02 3.1700e-01 6.8125e-01 9.6340e-01
1.9350e-09 2.4970e-02 2.4900e-01 5.8625e-01 9.4220e-01
2.0550e-09 4.0950e-02 1.7900e-01 7.5125e-01 9.7420e-01
2.1350e-09 3.0070e-02 3.0100e-01 6.8625e-01 9.4540e-01
2.3150e-09 2.2930e-02 2.3500e-01 5.7125e-01 9.7820e-01
1.7950e-09 2.5990e-02 1.8500e-01 6.4875e-01 9.6460e-01
1.6850e-09 3.4150e-02 3.1100e-01 5.7875e-01 9.6580e-01
1.8650e-09 3.5170e-02 1.5100e-01 7.4125e-01 9.5700e-01
1.8450e-09 2.9050e-02 2.4300e-01 7.2625e-01 9.4380e-01
2.3850e-09 3.1430e-02 1.9900e-01 6.8875e-01 9.6700e-01
2.0450e-09 4.9110e-02 1.6300e-01 6.7125e-01 9.6300e-01
1.9250e-09 3.4490e-02 2.6900e-01 6.6375e-01 9.5620e-01
1.6750e-09 3.5850e-02 3.4300e-01 6.7625e-01 9.5740e-01
1.5050e-09 1.8850e-02 1.6100e-01 6.4375e-01 9.6060e-01
1.9950e-09 2.1230e-02 2.5300e-01 5.6875e-01 9.7980e-01
2.0650e-09 3.3810e-02 2.9300e-01 6.5625e-01 9.5660e-01
1.9650e-09 4.3330e-02 3.3300e-01 7.7625e-01 9.6660e-01
2.1850e-09 2.5650e-02 2.7700e-01 5.8875e-01 9.6860e-01
2.0150e-09 4.7070e-02 3.4100e-01 7.0375e-01 9.7260e-01
2.2650e-09 4.7750e-02 1.5900e-01 6.5125e-01 9.7540e-01
2.4650e-09 4.4690e-02 2.0700e-01 7.7875e-01 9.7900e-01
2.1450e-09 2.2250e-02 1.9100e-01 7.1875e-01 9.7660e-01
1.7050e-09 2.0210e-02 1.7100e-01 6.2625e-01 9.4780e-01
1.9850e-09 4.8770e-02 2.8700e-01 7.9875e-01 9.6940e-01
2.2150e-09 3.3130e-02 2.0900e-01 6.7375e-01 9.5980e-01
2.1750e-09 3.9930e-02 2.7300e-01 6.2875e-01 9.4860e-01
2.2050e-09 4.8090e-02 2.3700e-01 7.6625e-01 9.4300e-01
1.7450e-09 1.9530e-02 3.0300e-01 5.6375e-01 9.5580e-01
2.2550e-09 2.7350e-02 2.5500e-01 7.0875e-01 9.5860e-01
1.8250e-09 3.4830e-02 2.4700e-01 6.0625e-01 9.6900e-01
2.0050e-09 3.6530e-02 2.9500e-01 6.5375e-01 9.6620e-01
2.3450e-09 3.1770e-02 3.4900e-01 7.4875e-01 9.7780e-01
2.3750e-09 1.9870e-02 1.5300e-01 7.3125e-01 9.7300e-01
2.2850e-09 2.8710e-02 2.0500e-01 6.1875e-01 9.6180e-01
1.5850e-09 2.3610e-02 3.3500e-01 5.9125e-01 9.7060e-01
2.4550e-09 4.5030e-02 2.6500e-01 5.9875e-01 9.4700e-01
2.3950e-09 5.1490e-02 1.9300e-01 6.5875e-01 9.4060e-01
2.0250e-09 3.9250e-02 2.9900e-01 7.6375e-01 9.7180e-01
1.5350e-09 2.8370e-02 1.6500e-01 7.8875e-01 9.6500e-01
1.8750e-09 4.7410e-02 1.8900e-01 6.9125e-01 9.6020e-01
2.3650e-09 4.1290e-02 1.5700e-01 5.8125e-01 9.7940e-01
1.8150e-09 3.7210e-02 2.7100e-01 7.7375e-01 9.5260e-01
2.4050e-09 2.2590e-02 2.7900e-01 6.2375e-01 9.6540e-01
1.6450e-09 5.1830e-02 3.1900e-01 7.3375e-01 9.7220e-01
1.9450e-09 3.8230e-02 2.3300e-01 6.2125e-01 9.4660e-01
1.6650e-09 4.9790e-02 2.6300e-01 5.7625e-01 9.6140e-01
1.8350e-09 4.5370e-02 1.6900e-01 7.9125e-01 9.5180e-01
2.4450e-09 2.7010e-02 1.9700e-01 5.5625e-01 9.4260e-01
1.6950e-09 2.9730e-02 1.6700e-01 7.1125e-01 9.7700e-01
1.8550e-09 3.2110e-02 2.0100e-01 6.9875e-01 9.4740e-01
2.0350e-09 4.4010e-02 3.2700e-01 6.3875e-01 9.6980e-01
2.1250e-09 4.6730e-02 2.5900e-01 5.9375e-01 9.5340e-01
1.5650e-09 3.0410e-02 1.8300e-01 7.6875e-01 9.7740e-01
1.7750e-09 4.2650e-02 2.8500e-01 5.6625e-01 9.5020e-01
2.4250e-09 2.6670e-02 2.8100e-01 7.6125e-01 9.5940e-01
1.6350e-09 1.8170e-02 2.9700e-01 6.7875e-01 9.6260e-01
2.0850e-09 4.1630e-02 2.2900e-01 5.6125e-01 9.5780e-01
2.4750e-09 2.8030e-02 3.2900e-01 6.0375e-01 9.4580e-01
2.3050e-09 2.0550e-02 3.2100e-01 6.8375e-01 9.4100e-01
2.2350e-09 5.0130e-02 2.7500e-01 6.3375e-01 9.5220e-01
1.7150e-09 2.3270e-02 3.1500e-01 7.9625e-01 9.5060e-01
2.1550e-09 2.4630e-02 2.2700e-01 6.0875e-01 9.5900e-01
1.5150e-09 1.8510e-02 1.7300e-01 7.0625e-01 9.4140e-01
1.6050e-09 5.1150e-02 1.5500e-01 7.4375e-01 9.5380e-01
2.1950e-09 4.2310e-02 2.5700e-01 6.4625e-01 9.7500e-01
1.9550e-09 3.3470e-02 1.7700e-01 5.5375e-01 9.5140e-01
2.2750e-09 3.7550e-02 1.8700e-01 7.1625e-01 9.5300e-01
1.9150e-09 2.3950e-02 2.0300e-01 6.1375e-01 9.4500e-01
1.5950e-09 2.1910e-02 3.0500e-01 6.9625e-01 9.4620e-01
2.1150e-09 4.6050e-02 3.0900e-01 7.5375e-01 9.6780e-01
2.2950e-09 3.7890e-02 2.8300e-01 6.4125e-01 9.6420e-01
1.7350e-09 3.8910e-02 2.9100e-01 7.2875e-01 9.5100e-01
1.8950e-09 4.8430e-02 2.1300e-01 6.3625e-01 9.7020e-01
1.7250e-09 4.6390e-02 1.8100e-01 6.0125e-01 9.6380e-01
2.4350e-09 3.5510e-02 3.2500e-01 7.2375e-01 9.7380e-01
1.6150e-09 4.2990e-02 2.3900e-01 6.3125e-01 9.5500e-01
1.7650e-09 2.5310e-02 2.8900e-01 6.6625e-01 9.5540e-01
2.1650e-09 5.0810e-02 2.6700e-01 7.3625e-01 9.4460e-01
1.5550e-09 4.9450e-02 3.0700e-01 5.9625e-01 9.5460e-01
2.0950e-09 3.6190e-02 3.3700e-01 7.8625e-01 9.7340e-01
1.7550e-09 4.1970e-02 3.4500e-01 7.7125e-01 9.7860e-01
2.4150e-09 3.6870e-02 2.5100e-01 6.6125e-01 9.7580e-01
2.1050e-09 1.9190e-02 2.2100e-01 5.5125e-01 9.5420e-01
1.9750e-09 4.3670e-02 2.1700e-01 7.4625e-01 9.6220e-01
1.8050e-09 2.4290e-02 3.3100e-01 7.8125e-01 9.4940e-01
2.3550e-09 3.9590e-02 3.3900e-01 6.6875e-01 9.4980e-01
2.3350e-09 2.9390e-02 2.3100e-01 7.5875e-01 9.7140e-01
2.2250e-09 3.1090e-02 2.1900e-01 5.5875e-01 9.7460e-01
1.5250e-09 2.0890e-02 2.2300e-01 5.7375e-01 9.4420e-01
1.9050e-09 4.4350e-02 2.2500e-01 6.1625e-01 9.4900e-01
2.3250e-09 4.5710e-02 2.6100e-01 5.8375e-01 9.6820e-01
2.2450e-09 2.6330e-02 1.9500e-01 7.1375e-01 9.5820e-01
2.4850e-09 2.1570e-02 2.4500e-01 7.3875e-01 9.4340e-01
